frequency,volume
6600.wav,10
1400.wav,6
5400.wav,10
1200.wav,3
5800.wav,10
5200.wav,8
2200.wav,5
3200.wav,4
5000.wav,6
3800.wav,7
1800.wav,3
6800.wav,10
6000.wav,9
3400.wav,4
4400.wav,4
5600.wav,9
2800.wav,4
2600.wav,3
2400.wav,4
4800.wav,6
1600.wav,4
4200.wav,7
4000.wav,11
6400.wav,11
3000.wav,4
1000.wav,5
6200.wav,14
3600.wav,7
4600.wav,4
2000.wav,3
