frequency,volume
2600.wav,8
5400.wav,9
3200.wav,6
4200.wav,5
6400.wav,8
4000.wav,7
4400.wav,4
1000.wav,1
4800.wav,1
5800.wav,8
2800.wav,5
1400.wav,3
6800.wav,4
4600.wav,3
3600.wav,3
6600.wav,2
3000.wav,9
6000.wav,9
3800.wav,5
2400.wav,5
2200.wav,4
1200.wav,4
5200.wav,4
6200.wav,5
5600.wav,2
5000.wav,4
3400.wav,6
1600.wav,3
1800.wav,3
2000.wav,2
