frequency,volume
1000.wav,4
1200.wav,3
1400.wav,2
1600.wav,4
1800.wav,3
2000.wav,3
2200.wav,4
2400.wav,2
2600.wav,3
2800.wav,2
3000.wav,2
3200.wav,5
3400.wav,4
3600.wav,6
3800.wav,4
4000.wav,6
4200.wav,4
4400.wav,3
4600.wav,3
4800.wav,2
5000.wav,3
5200.wav,4
5400.wav,3
5600.wav,3
5800.wav,5
6000.wav,7
6200.wav,10
6400.wav,10
6600.wav,5
6800.wav,3
