frequency,volume
4400.wav,15
6000.wav,13
5200.wav,4
2800.wav,10
3000.wav,11
2600.wav,9
4000.wav,9
2400.wav,8
5600.wav,3
3600.wav,7
2000.wav,5
3800.wav,6
2200.wav,8
5800.wav,8
6200.wav,8
1000.wav,6
1200.wav,8
6600.wav,7
5000.wav,4
6400.wav,9
4200.wav,9
4800.wav,6
3400.wav,6
5400.wav,3
1600.wav,8
4600.wav,3
1800.wav,6
3200.wav,7
6800.wav,3
1400.wav,4
