frequency,volume
1400.wav,6
5000.wav,6
5600.wav,9
6200.wav,14
1000.wav,8
2000.wav,2
2400.wav,3
6600.wav,9
3000.wav,4
1600.wav,5
3800.wav,12
3600.wav,10
3200.wav,7
5800.wav,11
5200.wav,9
1200.wav,4
6400.wav,12
4400.wav,10
6800.wav,7
4000.wav,10
3400.wav,10
2200.wav,5
5400.wav,7
2800.wav,4
4200.wav,11
4600.wav,3
2600.wav,5
4800.wav,7
6000.wav,5
1800.wav,4
