frequency,volume
5400.wav,8
4800.wav,1
2400.wav,2
2200.wav,1
4000.wav,6
6000.wav,9
4400.wav,2
3800.wav,3
4600.wav,1
5800.wav,7
5000.wav,3
1600.wav,4
2000.wav,3
2600.wav,3
1000.wav,4
5200.wav,5
3200.wav,2
6200.wav,9
1400.wav,5
1800.wav,5
4200.wav,2
3400.wav,1
5600.wav,6
3600.wav,3
3000.wav,3
6800.wav,5
2800.wav,4
1200.wav,3
6400.wav,6
6600.wav,7
