frequency,volume
1000.wav,9
1200.wav,2
1400.wav,1
1600.wav,1
1800.wav,1
2000.wav,1
2200.wav,1
2400.wav,1
2600.wav,2
2800.wav,2
3000.wav,8
3200.wav,5
3400.wav,5
3600.wav,3
3800.wav,2
4000.wav,11
4200.wav,12
4400.wav,2
4600.wav,3
4800.wav,3
5000.wav,2
5200.wav,2
5400.wav,2
5600.wav,1
5800.wav,3
6000.wav,3
6200.wav,3
6400.wav,3
6600.wav,1
6800.wav,1
